Время подготовки (в годах),Баллы на финале DANO (зависимая переменная)
0.749080237694725,10.01
1.9014286128198323,79.37
1.4639878836228102,36.79
1.1973169683940732,18.39
0.31203728088487304,24.8
0.3119890406724053,15.06
0.11616722433639892,2.77
1.7323522915498704,60.49
1.2022300234864176,16.72
1.416145155592091,37.67
0.041168988591604894,19.04
1.9398197043239886,78.26
1.6648852816008435,56.04
0.4246782213565523,15.15
0.36364993441420124,17.72
0.36680901970686763,25.26
0.6084844859190754,11.73
1.0495128632644757,14.25
0.8638900372842315,9.99
0.5824582803960838,7.54
1.223705789444759,23.69
0.27898772130408367,14.0
0.5842892970704363,15.2
0.7327236865873834,20.38
0.9121399684340719,17.03
1.5703519227860272,51.78
0.39934756431671947,10.28
1.0284688768272232,38.12
1.184829137724085,27.39
0.09290082543999545,5.05
1.2150897038028767,16.45
0.34104824737458306,15.24
0.13010318597055903,9.58
1.8977710745066665,82.17
1.9312640661491187,85.87
1.6167946962329223,44.66
0.6092275383467414,7.53
0.19534422801276774,0.73
1.3684660530243138,26.73
0.8803049874792026,22.45
0.24407646968955765,12.99
0.9903538202225404,9.59
0.06877704223043679,12.21
1.8186408041575641,68.68
0.5175599632000338,6.61
1.325044568707964,29.04
0.6234221521788219,13.98
1.0401360423556216,11.32
1.0934205586865593,23.04
0.3697089110510541,15.92
1.9391692555291171,91.47
1.550265646722229,47.55
1.8789978831283782,64.69
1.7896547008552977,55.8
1.1957999576221703,26.95
1.8437484700462337,72.91
0.176985004103839,14.88
0.3919657248382904,39.07
0.09045457782107613,15.04
0.6506606615265287,21.75
0.777354579378964,21.77
0.5426980635477918,17.53
1.6574750183038587,46.42
0.7135066533871786,19.71
0.5618690193747615,7.69
1.085392166316497,18.69
0.2818484499495253,8.23
1.6043939615080793,44.76
0.14910128735954165,27.4
1.9737738732010346,76.95
1.5444895385933148,44.58
0.3974313630683448,0.83
0.011044234247204798,7.57
1.6309228569096683,53.96
1.4137146876952342,32.49
1.4580143360819746,26.86
1.5425406933718915,34.64
0.14808930346818072,15.95
0.7169314570885452,9.32
0.23173811905025943,12.96
1.726206851751187,55.57
1.2465962536551158,20.44
0.6617960497052984,28.91
0.12711670057204727,15.58
0.6219646434313244,
0.6503666440534941,15.11
1.4592123566761281,29.84
1.2751149427104262,31.98
1.774425485152653,55.02
0.9444298503238986,16.68
0.2391884918766034,15.01
1.42648957444599,38.75
1.5215700972337949,29.85
1.1225543951389925,18.93
1.541934359909122,36.28
0.9875911927287815,13.69
1.0454656587639881,31.8
0.8550820367170993,18.92
0.05083825348819038,2.13
0.2157828539866089,17.82
0.0628583713734685,25.84
1.2728208225275608,33.16
0.6287119621526533,2.98
1.0171413823294055,15.45
1.815132947852186,74.4
0.4985844582977499,7.73
0.8207658460712595,18.73
1.5111022770860973,43.0
0.4575963309832449,5.95
0.15395981965758598,10.79
0.579502905827536,
0.32244257450800884,4.62
1.8593953046851461,69.72
1.616240759128834,36.39
1.266807513020847,37.14
1.7429211803754354,47.02
1.607344153798229,41.34
0.3731401177720717,12.92
1.7851179969799555,71.91
1.0786844838313014,10.14
1.614880310328125,53.16
1.7921825998469865,62.75
0.6360069499437278,6.81
0.22010384905535352,14.65
0.45587032508388337,13.82
0.8542155772525126,11.87
1.6360295318449862,47.25
1.7214611665126869,52.06
0.013904261062381407,11.67
1.0214946051551315,23.57
0.834822006297558,26.91
0.4442156209414605,3.7
0.2397307346673656,26.41
0.6752303428072559,0.36
1.8858194078250383,74.29
0.6464058640415105,17.88
1.0375812434867322,21.24
1.4060379177903557,27.29
0.727259204758588,13.08
1.9435641654419213,81.19
1.9248945898842225,77.38
0.5035645916507283,18.66
0.9944970117847709,20.89
0.6017566196335393,8.55
0.5696809887549352,19.45
0.07377389470906559,13.16
1.2191286679597937,29.77
1.005358046457723,23.01
0.1029575024999787,5.27
0.5572929284732229,9.15
1.8165317719333074,70.94
0.47912378133394484,16.83
0.2897897441824462,11.51
0.978905520555126,18.92
1.9713009082212014,98.51
0.4841105430230008,8.45
1.344271094811757,32.61
1.5232392306574352,36.94
0.47527508798479934,11.02
1.4564326972237192,42.01
0.7355662654385065,20.4
1.264611661187159,31.33
1.2670594215217894,34.86
1.071549368149517,20.17
0.1805795401088166,16.06
1.670604991178476,47.64
0.6415601299434717,15.99
0.37303702079970846,11.1
0.08155028310952783,11.7
1.1817858863764836,27.08
1.3551287236845648,23.53
0.033175657855712304,25.56
1.024186116598562,11.94
0.4529915503958759,3.91
1.2903455808188997,34.69
0.3487328580099829,17.44
1.381875476204932,34.85
0.7734706926010748,19.44
1.873459977473469,73.43
0.2750418882919865,5.32
0.682132702100517,14.62
0.22694704248117814,6.69
1.8493872365571256,76.92
1.754678706761962,57.29
0.5158832554303112,7.01
1.319968092068358,25.51
1.6344444004024317,49.52
1.1104016231989247,17.01
1.059301156712013,13.99
0.48370458180090337,14.29
0.18620553561179842,13.02
1.7944315159066535,59.4
1.800836114326661,60.44
1.2662029145465359,27.31
0.6780595820974014,3.91
0.6984191492253218,4.39
1.4519113577404787,29.03
1.7942205199051542,61.43
1.7741728485302346,62.71
1.5597510917152477,51.17
