Возраст,Любимое животное (зависимая переменная)
90,капибара
73,ондатра
89,ондатра
18,капибара
38,ондатра
66,капибара
44,ондатра
12,котик
91,котик
57,котик
19,котик
91,котик
71,капибара
60,котик
38,котик
0,котик
2,котик
76,ондатра
91,капибара
61,котик
62,котик
24,котик
55,капибара
32,ондатра
37,капибара
5,ондатра
57,котик
43,котик
44,капибара
31,капибара
44,ондатра
60,ондатра
46,капибара
20,ондатра
79,капибара
84,ондатра
74,капибара
35,капибара
98,капибара
18,ондатра
19,ондатра
56,ондатра
17,капибара
46,ондатра
48,ондатра
13,капибара
14,котик
30,капибара
0,ондатра
53,капибара
2,котик
15,капибара
86,ондатра
56,котик
74,ондатра
11,котик
73,котик
95,капибара
15,капибара
71,ондатра
75,капибара
23,капибара
27,котик
7,капибара
91,котик
35,котик
89,котик
7,ондатра
57,ондатра
59,ондатра
49,котик
27,ондатра
91,ондатра
40,капибара
99,ондатра
63,ондатра
26,котик
62,котик
16,котик
72,котик
32,котик
83,котик
76,ондатра
91,котик
28,котик
12,капибара
45,ондатра
34,ондатра
5,ондатра
81,котик
68,котик
46,котик
24,капибара
65,котик
9,капибара
55,ондатра
29,котик
4,капибара
32,капибара
64,котик
17,ондатра
95,ондатра
48,ондатра
10,капибара
84,капибара
25,капибара
62,капибара
88,ондатра
85,котик
58,капибара
26,капибара
48,ондатра
76,котик
32,котик
97,ондатра
98,ондатра
0,котик
20,капибара
54,котик
5,ондатра
91,капибара
80,капибара
68,ондатра
94,ондатра
4,ондатра
2,котик
52,котик
22,капибара
52,ондатра
36,капибара
73,капибара
73,капибара
82,капибара
16,ондатра
84,капибара
77,ондатра
72,ондатра
0,котик
50,ондатра
44,котик
76,ондатра
3,ондатра
61,ондатра
64,котик
31,котик
33,капибара
91,котик
94,котик
71,котик
38,котик
25,капибара
33,котик
53,ондатра
2,ондатра
49,котик
11,котик
64,ондатра
53,ондатра
4,капибара
93,ондатра
93,ондатра
56,котик
16,ондатра
46,капибара
22,ондатра
78,котик
84,котик
13,ондатра
65,котик
74,капибара
50,капибара
37,ондатра
63,ондатра
97,ондатра
37,котик
49,капибара
97,капибара
81,котик
29,капибара
78,ондатра
90,ондатра
50,ондатра
62,капибара
97,ондатра
51,котик
37,котик
96,капибара
87,котик
78,котик
29,капибара
50,ондатра
80,ондатра
4,ондатра
28,капибара
3,котик
9,ондатра
55,ондатра
16,капибара
73,ондатра
16,капибара
