row_id,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
194,Dream,50.9,19.1,196.0,3550.0,MALE
157,Dream,45.2,17.8,198.0,3950.0,FEMALE
225,Biscoe,46.5,13.5,210.0,4550.0,FEMALE
208,Dream,45.2,16.6,191.0,3250.0,FEMALE
318,Biscoe,48.4,14.4,203.0,4625.0,FEMALE
329,Biscoe,48.1,15.1,209.0,5500.0,MALE
319,Biscoe,51.1,16.5,225.0,5250.0,MALE
260,Biscoe,42.7,13.7,208.0,3950.0,FEMALE
114,Biscoe,39.6,20.7,191.0,3900.0,FEMALE
220,Biscoe,46.1,13.2,211.0,4500.0,FEMALE
310,Biscoe,47.5,15.0,218.0,4950.0,FEMALE
104,Biscoe,37.9,18.6,193.0,2925.0,FEMALE
42,Dream,36.0,18.5,186.0,3100.0,FEMALE
90,Dream,35.7,18.0,202.0,3550.0,FEMALE
300,Biscoe,49.1,14.5,212.0,4625.0,FEMALE
63,Biscoe,41.1,18.2,192.0,4050.0,MALE
110,Biscoe,38.1,16.5,198.0,3825.0,FEMALE
224,Biscoe,47.6,14.5,215.0,5400.0,MALE
333,Biscoe,51.5,16.3,230.0,5500.0,MALE
75,Torgersen,42.8,18.5,195.0,4250.0,MALE
137,Dream,40.2,20.1,200.0,3975.0,MALE
25,Biscoe,35.3,18.9,187.0,3800.0,FEMALE
267,Biscoe,50.5,15.9,225.0,5400.0,MALE
9,Torgersen,42.0,20.2,190.0,4250.0,
153,Dream,50.0,19.5,196.0,3900.0,MALE
180,Dream,46.4,17.8,191.0,3700.0,FEMALE
109,Biscoe,43.2,19.0,197.0,4775.0,MALE
183,Dream,54.2,20.8,201.0,4300.0,MALE
148,Dream,36.0,17.8,195.0,3450.0,FEMALE
158,Dream,46.1,18.2,178.0,3250.0,FEMALE
57,Biscoe,40.6,18.8,193.0,3800.0,MALE
72,Torgersen,39.6,17.2,196.0,3550.0,FEMALE
219,Dream,50.2,18.7,198.0,3775.0,FEMALE
119,Torgersen,41.1,18.6,189.0,3325.0,MALE
39,Dream,39.8,19.1,184.0,4650.0,MALE
118,Torgersen,35.7,17.0,189.0,3350.0,FEMALE
289,Biscoe,50.7,15.0,223.0,5550.0,MALE
193,Dream,46.2,17.5,187.0,3650.0,FEMALE
5,Torgersen,39.3,20.6,190.0,3650.0,MALE
210,Dream,50.2,18.8,202.0,3800.0,MALE
280,Biscoe,45.3,13.8,208.0,4200.0,FEMALE
336,Biscoe,44.5,15.7,217.0,4875.0,
341,Biscoe,50.4,15.7,222.0,5750.0,MALE
82,Torgersen,36.7,18.8,187.0,3800.0,FEMALE
3,Torgersen,,,,,
101,Biscoe,41.0,20.0,203.0,4725.0,MALE
231,Biscoe,49.0,16.1,216.0,5550.0,MALE
84,Dream,37.3,17.8,191.0,3350.0,FEMALE
46,Dream,41.1,19.0,182.0,3425.0,MALE
195,Dream,45.5,17.0,196.0,3500.0,FEMALE
77,Torgersen,37.2,19.4,184.0,3900.0,MALE
240,Biscoe,50.2,14.3,218.0,5700.0,MALE
299,Biscoe,45.2,16.4,223.0,5950.0,MALE
33,Dream,40.9,18.9,184.0,3900.0,MALE
55,Biscoe,41.4,18.6,191.0,3700.0,MALE
198,Dream,50.1,17.9,190.0,3400.0,FEMALE
124,Torgersen,35.2,15.9,186.0,3050.0,FEMALE
173,Dream,48.5,17.5,191.0,3400.0,MALE
175,Dream,50.6,19.4,193.0,3800.0,MALE
255,Biscoe,48.4,16.3,220.0,5400.0,MALE
167,Dream,50.5,19.6,201.0,4050.0,MALE
113,Biscoe,42.2,19.5,197.0,4275.0,MALE
325,Biscoe,46.8,16.1,215.0,5500.0,MALE
45,Dream,39.6,18.8,190.0,4600.0,MALE
321,Biscoe,55.9,17.0,228.0,5600.0,MALE
172,Dream,42.4,17.3,181.0,3600.0,FEMALE
73,Torgersen,45.8,18.9,197.0,4150.0,MALE
76,Torgersen,40.9,16.8,191.0,3700.0,FEMALE
16,Torgersen,38.7,19.0,195.0,3450.0,FEMALE
66,Biscoe,35.5,16.2,195.0,3350.0,FEMALE
229,Biscoe,46.8,15.4,215.0,5150.0,MALE
7,Torgersen,39.2,19.6,195.0,4675.0,MALE
140,Dream,40.2,17.1,193.0,3400.0,FEMALE
323,Biscoe,49.1,15.0,228.0,5500.0,MALE
305,Biscoe,50.8,17.3,228.0,5600.0,MALE
301,Biscoe,52.5,15.6,221.0,5450.0,MALE
78,Torgersen,36.2,16.1,187.0,3550.0,FEMALE
147,Dream,36.6,18.4,184.0,3475.0,FEMALE
94,Dream,36.2,17.3,187.0,3300.0,FEMALE
258,Biscoe,44.0,13.6,208.0,4350.0,FEMALE
60,Biscoe,35.7,16.9,185.0,3150.0,FEMALE
332,Biscoe,43.5,15.2,213.0,4650.0,FEMALE
239,Biscoe,48.7,15.1,222.0,5350.0,MALE
132,Dream,36.8,18.5,193.0,3500.0,FEMALE
202,Dream,48.1,16.4,199.0,3325.0,FEMALE
152,Dream,46.5,17.9,192.0,3500.0,FEMALE
17,Torgersen,42.5,20.7,197.0,4500.0,MALE
24,Biscoe,38.8,17.2,180.0,3800.0,MALE
238,Biscoe,46.2,14.5,209.0,4800.0,FEMALE
145,Dream,39.0,18.7,185.0,3650.0,MALE
209,Dream,49.3,19.9,203.0,4050.0,MALE
254,Biscoe,49.1,14.8,220.0,5150.0,FEMALE
287,Biscoe,49.5,16.2,229.0,5800.0,MALE
139,Dream,39.7,17.9,193.0,4250.0,MALE
272,Biscoe,45.1,14.4,210.0,4400.0,FEMALE
179,Dream,49.5,19.0,200.0,3800.0,MALE
143,Dream,40.7,17.0,190.0,3725.0,MALE
19,Torgersen,46.0,21.5,194.0,4200.0,MALE
256,Biscoe,42.6,13.7,213.0,4950.0,FEMALE
79,Torgersen,42.1,19.1,195.0,4000.0,MALE
108,Biscoe,38.1,17.0,181.0,3175.0,FEMALE
18,Torgersen,34.4,18.4,184.0,3325.0,FEMALE
116,Torgersen,38.6,17.0,188.0,2900.0,FEMALE
266,Biscoe,45.5,13.9,210.0,4200.0,FEMALE
31,Dream,37.2,18.1,178.0,3900.0,MALE
245,Biscoe,46.1,15.1,215.0,5100.0,MALE
277,Biscoe,45.5,15.0,220.0,5000.0,MALE
165,Dream,52.0,18.1,201.0,4050.0,MALE
250,Biscoe,47.3,15.3,222.0,5250.0,MALE
126,Torgersen,38.8,17.6,191.0,3275.0,FEMALE
282,Biscoe,45.7,13.9,214.0,4400.0,FEMALE
59,Biscoe,37.6,19.1,194.0,3750.0,MALE
111,Biscoe,45.6,20.3,191.0,4600.0,MALE
197,Dream,50.8,18.5,201.0,4450.0,MALE
15,Torgersen,36.6,17.8,185.0,3700.0,FEMALE
6,Torgersen,38.9,17.8,181.0,3625.0,FEMALE
244,Biscoe,42.9,13.1,215.0,5000.0,FEMALE
222,Biscoe,48.7,14.1,210.0,4450.0,FEMALE
93,Dream,39.6,18.1,186.0,4450.0,MALE
30,Dream,39.5,16.7,178.0,3250.0,FEMALE
22,Biscoe,35.9,19.2,189.0,3800.0,FEMALE
292,Biscoe,48.2,15.6,221.0,5100.0,MALE
302,Biscoe,47.4,14.6,212.0,4725.0,FEMALE
56,Biscoe,39.0,17.5,186.0,3550.0,FEMALE
271,Biscoe,48.5,14.1,220.0,5300.0,MALE
10,Torgersen,37.8,17.1,186.0,3300.0,
232,Biscoe,45.5,13.7,214.0,4650.0,FEMALE
242,Biscoe,46.5,14.5,213.0,4400.0,FEMALE
81,Torgersen,42.9,17.6,196.0,4700.0,MALE
176,Dream,46.7,17.9,195.0,3300.0,FEMALE
339,Biscoe,,,,,
304,Biscoe,44.9,13.8,212.0,4750.0,FEMALE
283,Biscoe,54.3,15.7,231.0,5650.0,MALE
223,Biscoe,50.0,15.2,218.0,5700.0,MALE
181,Dream,52.8,20.0,205.0,4550.0,MALE
92,Dream,34.0,17.1,185.0,3400.0,FEMALE
69,Torgersen,41.8,19.4,198.0,4450.0,MALE
221,Biscoe,50.0,16.3,230.0,5700.0,MALE
